Designator,Mid X,Mid Y,Rotation,Layer
C1,15.9004,16.8656,270.0,bottom
C2,10.2108,16.9545,270.0,bottom
C300,18.288,2.032,0.0,bottom
D1,9.144,11.557,0.0,bottom
J1,3.429,16.256,0.0,bottom
J2,21.209,16.256,0.0,bottom
Q2,9.525,17.7523,90.0,top
Q3,14.859,17.78,90.0,top
R2,23.368,1.905,90.0,top
R3,8.763,13.97,0.0,bottom
R301,23.368,8.001,270.0,top
R302,23.368,11.557,270.0,top
R303,6.096,20.574,0.0,top
R304,1.27,3.62,90.0,top
R4,7.747,17.526,270.0,bottom
R5,9.525,20.574,0.0,top
R6,8.6868,14.986,0.0,top
R7,14.986,14.986,0.0,top
R8,14.922,20.574,0.0,top
SW1,22.098,18.542,270.0,top
SW2,2.54,18.542,90.0,top
U1,13.081,16.764,180.0,bottom
U300,12.336,7.016,180.0,top
